Altium Designer Pick and Place Locations
C:\Users\USER\AppData\Local\TempReleases\Snapshot\1\Assembly\Pick Place\Pick Place for SunRiseClock_PCB.txt

========================================================================================================================
File Design Information:

Date:       25.07.24
Time:       20:40
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                           Layer       Footprint                                   Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                   
R44        "10K 1%, 0402"                    TopLayer    ADHC-Vishay_CRCW0402100KFKEDHP-Footprint-2  881.890       1093.898      270      "Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                                                                        
R43        "10K 1%, 0402"                    TopLayer    ADHC-Vishay_CRCW0402100KFKEDHP-Footprint-2  1316.536      1087.872      270      "Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                                                                        
R42        "10K 1%, 0402"                    TopLayer    ADHC-Vishay_CRCW0402100KFKEDHP-Footprint-2  1754.031      1090.501      270      "Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                                                                        
C19        "100nF X5R, 0402"                 TopLayer    CAPC1005X60X30ML05T10                       823.819       1054.823      270      "Kemet C0402C104K8PAC7867"                                                                                                                                    
C18        "100nF X5R, 0402"                 TopLayer    CAPC1005X60X30ML05T10                       1261.910      1048.797      270      "Kemet C0402C104K8PAC7867"                                                                                                                                    
C17        "100nF X5R, 0402"                 TopLayer    CAPC1005X60X30ML05T10                       1700.187      1056.547      270      "Kemet C0402C104K8PAC7867"                                                                                                                                    
GB1        CD2032                            BottomLayer PCB-0ph8swyi2hmbqkdjy7pf-1                  2815.748      705.315       270      "Battery Holder; Heavy Duty; SMT; Coin Cell, 20 mm; Hi-Temp Nylon, UL94V-0; Black"                                                                            
U2         FP7103                            TopLayer    FP702-Footprint-1                           3534.425      481.824       90       "28V, 3A Buck Constant Current Switching Regulator"                                                                                                           
R33        "330 5% 0402"                     TopLayer    RESC1005X40X25LL05T10                       1994.291      613.492       0        "RES SMD 330 OHM 5% 1/16W 0402"                                                                                                                               
R41        "10K 1%, 0402"                    TopLayer    ADHC-Vishay_CRCW0402100KFKEDHP-Footprint-2  2042.567      411.992       0        "Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                                                                        
R40        "10K 1%, 0402"                    TopLayer    ADHC-Vishay_CRCW0402100KFKEDHP-Footprint-2  1996.528      513.492       0        "Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                                                                        
R39        "10K 1%, 0402"                    TopLayer    ADHC-Vishay_CRCW0402100KFKEDHP-Footprint-2  1190.402      524.492       180      "Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                                                                        
R38        "10K 1%, 0402"                    TopLayer    ADHC-Vishay_CRCW0402100KFKEDHP-Footprint-2  1190.894      472.031       180      "Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                                                                        
R37        "10K 1%, 0402"                    TopLayer    ADHC-Vishay_CRCW0402100KFKEDHP-Footprint-2  1815.551      298.721       90       "Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                                                                        
R36        "10K 1%, 0402"                    TopLayer    ADHC-Vishay_CRCW0402100KFKEDHP-Footprint-2  1601.673      300.098       90       "Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                                                                        
R35        "10K 1%, 0402"                    TopLayer    ADHC-Vishay_CRCW0402100KFKEDHP-Footprint-2  1328.150      297.835       90       "Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                                                                        
R34        "10K 1%, 0402"                    TopLayer    ADHC-Vishay_CRCW0402100KFKEDHP-Footprint-2  1113.780      294.587       90       "Res Thick Film 0402 10K Ohm 1% 1/16W ±100ppm/°C Molded SMD Paper T/R"                                                                                        
Q5         BC860BW                           TopLayer    INF-SOT323_M                                1921.752      306.299       0        "PNP Silicon AF Transistor, 45 V VCEO, 100 mA IC, SOT323, Reel, Green"                                                                                        
Q4         BC860BW                           TopLayer    INF-SOT323_M                                1709.350      306.004       0        "PNP Silicon AF Transistor, 45 V VCEO, 100 mA IC, SOT323, Reel, Green"                                                                                        
Q3         BC860BW                           TopLayer    INF-SOT323_M                                1433.071      306.594       0        "PNP Silicon AF Transistor, 45 V VCEO, 100 mA IC, SOT323, Reel, Green"                                                                                        
Q2         BC860BW                           TopLayer    INF-SOT323_M                                1222.835      306.201       0        "PNP Silicon AF Transistor, 45 V VCEO, 100 mA IC, SOT323, Reel, Green"                                                                                        
LED1       Vishay_TDCG1050M                  TopLayer    PCB-98d8oze3ld8bjznlvyq7-1                  1611.575      596.492       0        "TDCG10 Series Four Digit Green 2 V 20 mA 573 nm Common Anode Clock Display"                                                                                  
DEBUG      ""                                TopLayer    PCB-zwzarwukgasku3amzi4v-1                  2520.520      167.799       0        "CONN HEADER 4 POS 2.54"                                                                                                                                      
U5         ULN2003                           TopLayer    SO-16                                       2235.087      585.811       180      "ULN Series 50V 500 mA High Voltage High Current Seven Darlington Array - SOIC-16"                                                                            
